"Target",1512,Target,6
"Walmart",4192,Walmart eCommerce,101
"Microsoft",1035,Microsoft,2242
"IBM",1009,IBM,2163
"Bank of America",1123,Bank of America,28
"Wells Fargo",1235,Wells Fargo,94
"Best Buy",2127,Best Buy,3869
"AT&T",1052,AT&T,106
"US Army",1223,US Army,1
"Hewlett-Packard",1025,Hewlett-Packard,236
"The Home Depot",1534,The Home Depot,20
"Macy's",2300,Macy's,463
"Starbucks",2271,Starbucks,135
"Lowe's",2227832,Bernie Lowe & Associates, Inc.,0
"Cisco Systems",1063,Cisco,258
"Deloitte",1038,Deloitte,2452
"US Air Force",157235,United States Air Force,20
"Sears",1944,Sears Holdings Corporation,9534
"Apple",162479,Apple,1602
"US Navy",1335,US Navy,7
"Walgreens",3589,Walgreens,76
"Accenture",21314,Accenture Software for P&C Insurance,0
"J.P. Morgan",1067,J.P. Morgan,303
"Intel Corporation",1053,Intel Corporation,368
"PwC",1044,PwC,7253
"Amazon.com",1586,Amazon,1212
"CVS Caremark",4680,CVS Caremark Corporation,237
"McDonald's",2677,McDonald's Corporation,44
"Verizon Wireless",2696,Verizon Wireless,97
"Oracle",1028,Oracle,168
"Enterprise Rent-A-Car",462318,Enterprise Holdings,20
"Nordstrom",538297,Nordstromrack.com | HauteLook, a Nordstrom Company,0
"UPS",1524,UPS Supply Chain Solutions,0
"Dell",1093,Dell,1255
"Chase",1068,JPMorgan Chase,902
"Lockheed Martin",1319,Lockheed Martin,58
"EY",1073,EY,1375
"Sprint",1106,Sprint,47
"T-Mobile",1392,T-Mobile,1081
"Comcast",1703,Comcast,300
"Verizon",1103,Verizon,366
"Citi",11448,Citi,79
"US Marine Corps",2039,United States Marine Corps,0
"Booz Allen Hamilton",1403,Booz Allen Hamilton,42
"Boeing",1384,Boeing,173
"Kohl's",3742136,Kohl Wholesale,0
"Abercrombie & Fitch",5410,Abercrombie & Fitch,43
"J. C. Penney",20879,City of Plano,0
"DISH",4296,Dish Network,65
"Google",1441,Google,923
"Staples",3019,Staples,39
"Infosys",25142,Infosys McCamish Systems,0
"Cognizant Technology Solutions",1680,Cognizant Technology Solutions,109
"KPMG US",1079,KPMG US,1212
"UnitedHealth Group",1720,UnitedHealth Group,0
"Northrop Grumman",1412,Northrop Grumman Corporation,22
"Insight Global",1262,Deutsche Bank,23
"GE",1023,GE Capital,774
"Kaiser Permanente",1550,Kaiser Permanente,44
"Fidelity Investments",1307,Fidelity Investments,163
"Hertz",4326,Hertz,93
"Xerox",1373,Xerox,30
"State Farm",2381,State Farm,5233
