J. C. Penney,20879,City of Plano,0,1,
DISH,4296,Dish Network,65,1,
Infosys,25142,Infosys McCamish Systems,0,1,
Northrop Grumman,1412,Northrop Grumman Corporation,22,1,
Insight Global,1262,Deutsche Bank,23,1,
GE,1023,GE Capital,774,1,
Computer Sciences Corp,1120,CSC,123,1,
The Gap,1677,Gap Inc.,4,1,
Capital One,1123,Bank of America,28,1,
Qualcomm,595224,Qualcomm Innovation Center Inc,0,1,
Victoria's Secret Stores,2251,Victoria's Secret,86,1,
Forever 21,163828,First Citizens Bank,51,1,
Motorola Mobility,1066,Motorola,66,1,
US Postal Service,3694,United States Postal Service,2,1,
Old Navy,165295,Gap Inc./Old Navy,1,1,
GameStop,3342281,The Old School Game Vault,0,1,
Publix,7242,Publix Super Markets,6,1,
Kmart,1943,Kmart Corporation,7,1,
Panera Bread,5070382,"Howley Bread Group, Ltd., a franchise of Panera, LLC",1,1,
Morgan Stanley,1351,Morgan Stanley Wealth Management,98,1,
Marriott,2311,Marriott International,2125,1,
Disney Parks & Resorts,1292,The Walt Disney Company,1145,1,
PNC Financial Services Group,6037,National City,0,1,
Coca-Cola Company,1694,The Coca-Cola Company,266,1,
Costco Wholesale,43902,ADW Acosta,0,1,
FedEx,1670,FedEx Services,5,1,
Toys ''R'' Us,4990,Toys R Us,21,1,
Sam's Club,22070,Triad Retail Media,8,1,
eBay Inc.,1481,eBay Inc,100,1,
Dollar General,4326,Hertz,93,1,
Dillard's,7455,Dillards,1,1,
UBS,5071719,UBS Center,0,1,
Bath & Body Works,2250,L Brands,57,1,
Pizza Hut,3408,Yum! Restaurants International,0,1,
Ross Stores,7032,"Ross Stores, Inc.",19,1,
American Eagle Outfitters,2411634,NEXT/NOW,0,1,
Michaels Stores,6034,"Michaels Stores, Inc.",10,1,
Bloomberg L.P.,2494,Bloomberg LP,344,1,
Edelman,58931,Edelman Financial Services,6,1,
Citibank,11448,Citi,79,0,
Affiliated Computer Services,7992,Buck Consultants,5,1,
Robert Half,1685,Robert Half Technology,3,0,
Farmers Insurance Group,3240,Farmers Insurance,82,0,
SunTrust,2692,SunTrust Bank,21,0,
Banana Republic,1678,Banana Republic / Gap Inc.,5,0,
Expedia,2751,"Expedia, Inc.",245,0,
Genentech,8013,Exelixis,0,1,
The Nielsen Company,1713,Nielsen Company,0,0,
Schlumberger,2210607,"GeothermEx Inc., a Schlumberger Company",0,1,
Ford Motor,166276,Team Detroit,65,1,
Caterpillar,162911,Caterpillar Logistics Inc.,0,0,
New York Life,2833617,Kentucky Blue Blood Financial Group/ a Lifetime Financial Growth Company,0,1,
BAE Systems USA,1748499,TPG - The Project Group,0,1,
Wipro,1315,Wipro Infotech,0,1,
Kelly Services,2309,Kelly Financial Resources,7,1,
Sherwin-Williams,165944,Sherwin Williams,17,1,
Advantage Sales and Marketing,1784,The Boston Consulting Group,3,1,
Pearson,2138,Pearson plc,0,1,
Walt Disney Company,1292,The Walt Disney Company,1145,0,
Epic Systems Corporation,6959,InterSystems,67,1,
Chick-fil-A,7476,The Richards Group,4,1,
Wachovia,1235,Wells Fargo,93,1,
Nationwide,2340,Nationwide Insurance,20,1,
Fiserv,7630,Open Solutions is now part of Fiserv. Please follow Fiserv at LinkedIn.com/company/Fiserv,10,1,
Hollister Co.,5410,Abercrombie & Fitch,43,1,
University of California Berkeley,2517,UC Berkeley,19,0,
University of Phoenix,3051,Apollo Education Group,10,1,
Ann Taylor,157337,ANN INC.,89,1,
University of Washington,4608,Washington University in St. Louis,5,1,
GE Healthcare,1015,GE,2023,0,
Chipotle,163025,Chipotle Mexican Grill,3,1,
Travelers Companies,3088,Travelers,65,1,
Aon Hewitt,2041,Aon,13,0,
Ericsson,1060,Ericsson,1427,0,
Express,-1,null,0,0,
Taco Bell,3408,Yum! Restaurants International,0,1,
Electronic Data Systems,1001,Teledyne Technologies Incorporated,1,1,
Goodwill,3757767,Goodwill Industries of Central East Texas,0,1,
ADT Security Services,162293,ADT,34,1,
Cerner,2812,Cerner Corporation,14,1,
US Census Bureau,7811,U.S. Census Bureau,0,0,
CGI Group,72172,XYZ,0,1,
Family Dollar Stores,163761,Family Dollar,2,1,
Williams-Sonoma,4123,"Williams-Sonoma, Inc.",72,1,
TD Bank,5246686,Keller Mack Insurance Inc,0,1,
Prudential,15294,Prudential Real Estate,0,1,
Domino's,7361,Domino's Pizza Nederland,26,0,
LexisNexis Legal & Professional,2206,LexisNexis,19,1,
Burger King,162835,Burger King Corporation,18972,0,
Capgemini,1956,Sogeti,40,1,
Eastman Chemical,163547,Eastman Chemical Company,19,1,
Fifth Third,269755,BBVA Compass,18,1,
NBCUniversal,1828,"NBCUniversal, Inc.",318,1,
NCR,1467,NCR Corporation,60,1,
J. Crew,6734,J.Crew,50,1,
Wendy's,982790,Team Wendy,0,1,
Petco,19671,"Digitaria, a JWT Company",3,1,
