Target, 7630, 13356
Walmart, 7346, 2141
Microsoft, 7525, 2136
IBM, 11053, 2764
Bank of America, 6055, 4028
Wells Fargo, 5559, 3982
Best Buy, 5350, 4382
AT&T, 5262, 7881
US Army, 4925, 868
Hewlett-Packard, 8296, 9
The Home Depot, 4524, 737
Macy's, 4231, 5799
Starbucks, 4245, 13697
Lowe's, 3696, 4370
Cisco Systems, 4576, 719
Deloitte, 6175, 1782
US Air Force, 3583, 319
Sears, 3575, 14229
Apple, 3472, 5178
US Navy, 3332, 49
Walgreens, 3190, 1304
Accenture, 7895, 1072
J.P. Morgan, 3580, 1
Intel Corporation, 3579, 1
PwC, 4704, 3951
Amazon.com, 3240, 420
CVS Caremark, 2756, 3869
McDonald's, 3066, 28674
Verizon Wireless, 2653, 3531
Oracle, 5272, 478
Enterprise Rent-A-Car, 2739, 2310
Nordstrom, 2500, 1665
UPS, 2352, 2963
Dell, 3459, 1444
Chase, 2194, 4801
Lockheed Martin, 2209, 3466
EY, 4152, 1652
T-Mobile, 2049, 1733
Verizon, 2221, 4606
Citi, 2462, 2576
Booz Allen Hamilton, 2030, 1288
Abercrombie & Fitch, 2017, 106
Google, 2300, 1054
Infosys, 8207, 52
Cognizant Technology Solutions, 4992, 141
KPMG US, 2954, 0
GE, 2358, 6241
Thomson Reuters, 2311, 585
Computer Sciences Corp, 2478, 0
Tata Consultancy Services, 7217, 306
Wipro, 4014, 84
HCL Technologies, 2799, 136
Target, 7630, 13356
Walmart, 7346, 2141
Microsoft, 7525, 2136
IBM, 11053, 2764
Bank of America, 6055, 4028
Wells Fargo, 5559, 3982
Best Buy, 5350, 4382
AT&T, 5262, 7881
US Army, 4925, 868
Hewlett-Packard, 8296, 9
The Home Depot, 4524, 737
Macy's, 4231, 5799
Starbucks, 4245, 13697
Lowe's, 3696, 4370
Cisco Systems, 4576, 719
Deloitte, 6175, 1782
US Air Force, 3583, 319
Sears, 3575, 14229
Apple, 3472, 5178
US Navy, 3332, 49
Walgreens, 3190, 1304
Accenture, 7895, 1072
J.P. Morgan, 3580, 1
Intel Corporation, 3579, 1
PwC, 4704, 3951
Amazon.com, 3240, 420
CVS Caremark, 2756, 3869
McDonald's, 3066, 28674
Verizon Wireless, 2653, 3531
Oracle, 5272, 478
Enterprise Rent-A-Car, 2739, 2310
Nordstrom, 2500, 1665
UPS, 2352, 2963
Dell, 3459, 1444
Chase, 2194, 4801
Lockheed Martin, 2209, 3466
EY, 4152, 1652
Sprint, 1996, 1199
T-Mobile, 2049, 1733
Comcast, 1918, 1890
Verizon, 2221, 4606
Citi, 2462, 2576
US Marine Corps, 1928, 35
Booz Allen Hamilton, 2030, 1288
Boeing, 1867, 462
Kohl's, 1979, 281
Abercrombie & Fitch, 2017, 106
J. C. Penney, 1878, 401
DISH, 1652, 1082
Google, 2300, 1054
Staples, 1815, 6359
Infosys, 8207, 52
Cognizant Technology Solutions, 4992, 141
KPMG US, 2954, 0
UnitedHealth Group, 1805, 1995
Northrop Grumman, 1643, 2068
Insight Global, 1434, 1905
GE, 2358, 6241
Kaiser Permanente, 1518, 3525
Fidelity Investments, 1708, 528
Hertz, 1561, 2617
Xerox, 1576, 1195
State Farm, 1462, 4834
Kroger, 1377, 2378
PepsiCo, 1667, 0
Thomson Reuters, 2311, 585
Computer Sciences Corp, 2478, 0
The Gap, 1498, 5
Capital One, 1378, 1711
Intuit, 1448, 215
U.S. Bank, 1342, 2252
Yahoo, 1682, 199
American Express, 1759, 347
Raytheon, 1364, 1243
ADP, 1668, 1155
Qualcomm, 1537, 328
Victoria's Secret Stores, 1362, 0
Whole Foods Market, 1289, 3960
Office Depot, 1330, 3566
Time Warner Cable, 1162, 608
Northwestern Mutual, 1241, 121
EMC, 1814, 1257
RadioShack, 1296, 616
YMCA, 1245, 2700
Forever 21, 1231, 886
Motorola Mobility, 1471, 222
US Postal Service, 1099, 8
Old Navy, 1222, 31
GameStop, 1213, 419
Publix, 1102, 275
Kmart, 1140, 33
Allstate, 1185, 1343
Panera Bread, 1095, 8659
Morgan Stanley, 1542, 755
Goldman Sachs, 1605, 490
Marriott, 1189, 4907
Disney Parks & Resorts, 1000, 84
State Street, 1209, 521
Safeway, 1017, 8214
PNC Financial Services Group, 1009, 0
BNY Mellon, 1146, 1043
Coca-Cola Company, 1219, 0
Costco Wholesale, 1145, 123
SAIC, 1061, 726
FedEx, 1053, 3838
Procter & Gamble, 1883, 118
Merrill Lynch, 1105, 0
Liberty Mutual Insurance, 1008, 218
Symantec, 1570, 562
Toys ''R'' Us, 1038, 8127
Merck, 1062, 172
Honeywell, 1604, 787
Barnes & Noble, 989, 2444
Sam's Club, 948, 9
VMware, 1255, 462
eBay Inc., 1046, 843
OfficeMax, 951, 2602
Dollar General, 919, 20998
Dillard's, 955, 61
Convergys, 1249, 352
Sun Microsystems, 1007, 0
Subway, 977, 178
UBS, 1302, 366
Texas Instruments, 1099, 170
Pfizer, 1065, 434
Johnson & Johnson, 1288, 3946
Tata Consultancy Services, 7217, 306
PetSmart, 904, 19525
Bath & Body Works, 918, 764
Pizza Hut, 868, 33539
Ross Stores, 803, 1647
American Eagle Outfitters, 870, 246
Charles Schwab, 808, 301
Rite Aid, 821, 2399
GEICO, 761, 303
MetLife, 881, 1065
Michaels Stores, 843, 2
Bloomberg L.P., 1104, 8
TEKsystems, 823, 1769
Edelman, 844, 243
Salesforce.com, 924, 0
USAA, 723, 199
Citibank, 1290, 5
Affiliated Computer Services, 921, 0
Robert Half, 790, 7421
Express Scripts, 681, 423
SAP, 1806, 370
General Motors, 858, 9
Farmers Insurance Group, 715, 170
SunTrust, 729, 928
H&R Block, 774, 1828
NetApp, 1031, 471
Adobe, 1013, 250
Edward Jones, 843, 8706
Aerotek, 713, 3977
Banana Republic, 761, 1
Bed Bath & Beyond, 737, 425
Dick's Sporting Goods, 728, 2489
AMD, 1094, 4
Expedia, 801, 261
Genentech, 733, 435
The Nielsen Company, 1126, 421
Schlumberger, 1357, 64
Ford Motor, 799, 466
Darden, 685, 249
Credit Suisse, 1225, 226
Caterpillar, 776, 144
New York Life, 671, 563
Humana, 663, 1054
BAE Systems USA, 692, 0
Wipro, 4014, 84
Kelly Services, 703, 5374
LinkedIn, 793, 140
Sherwin-Williams, 746, 429
NIKE, 725, 629
Advantage Sales and Marketing, 674, 0
CarMax, 644, 1107
Pearson, 737, 978
Stanford University, 657, 364
Walt Disney Company, 667, 1
Medtronic, 718, 604
Epic Systems Corporation, 642, 1
University of Michigan, 634, 654
Chick-fil-A, 632, 34
Vanguard, 646, 586
Broadcom, 818, 186
Aflac, 633, 117
Wachovia, 652, 0
American Airlines, 619, 96
United Airlines, 611, 51
Nationwide, 635, 1444
L-3 Communications, 623, 1147
Applebee's, 603, 2241
Cintas, 647, 1313
Cox Communications, 581, 210
Ulta Beauty, 656, 2
Fiserv, 771, 480
Hollister Co., 646, 5
University of California Berkeley, 592, 398
University of Phoenix, 611, 128
Progressive Insurance, 618, 145
Ann Taylor, 647, 2294
American Red Cross, 608, 701
University of Washington, 551, 1238
GE Healthcare, 902, 377
Chipotle, 560, 6637
Facebook, 677, 464
Travelers Companies, 623, 0
Menards, 590, 17
Aon Hewitt, 1053, 260
ARAMARK, 599, 1257
Advance Auto Parts, 607, 8054
AutoZone, 591, 104
Avaya, 916, 291
Ericsson-Worldwide, 1811, 0
Express, 585, 31367
Juniper Networks, 818, 145
AIG, 580, 185
Taco Bell, 565, 10768
Electronic Data Systems, 611, 0
Trader Joe's, 574, 100
Goodwill, 538, 2811
Paychex, 589, 475
ADT Security Services, 587, 683
CDW, 590, 232
TJ Maxx, 538, 80
Cerner, 615, 196
US Census Bureau, 561, 2
CGI Group, 1246, 0
FedEx Office, 598, 1403
Meijer, 544, 2748
Sports Authority, 574, 2596
Amgen, 593, 124
Family Dollar Stores, 548, 2
Deutsche Bank, 1115, 187
Williams-Sonoma, 576, 376
TD Bank, 983, 1196
Hilton Worldwide, 645, 55
CenturyLink, 616, 704
Prudential, 595, 1264
Domino's, 559, 1420
University of Southern California, 527, 535
LexisNexis Legal & Professional, 673, 0
Rockwell Collins, 598, 170
Burger King, 584, 554
Capgemini, 1940, 601
Eastman Chemical, 532, 57
Fifth Third, 516, 281
CA Technologies, 897, 170
Vector Marketing, 542, 0
NBCUniversal, 512, 14
NCR, 815, 229
J. Crew, 556, 226
PayPal, 693, 0
Blockbuster, 640, 0
Wendy's, 557, 4021
Petco, 553, 3644
DIRECTV, 515, 643
Delta Air Lines, 523, 51
Dollar Tree, 521, 2002
Alcatel-Lucent, 1262, 132
AOL, 607, 168
The Hartford, 537, 248
UCLA, 504, 669
Columbia University, 497, 513
BP, 754, 138
US Department of Veterans Affairs, 477, 0
Manpower, 590, 4239
Ameriprise, 521, 235
AMC Entertainment, 497, 454
Aetna, 486, 1221
Securitas Security Services USA, 472, 2
Chili's, 484, 6129
Visa Inc., 560, 1
Sephora, 547, 22
U.S. Cellular, 513, 439
DaVita, 513, 2057
Cigna, 498, 1209
Fedex Express, 537, 1088
Starwood Hotels & Resorts, 613, 746
Nokia, 1250, 40
Chevron, 605, 425
FedEx Ground, 513, 109
Pier 1 Imports, 507, 6
Discover, 453, 338
Citrix Systems, 713, 592
General Mills, 562, 33
URS, 538, 1494
McKesson, 503, 1160
H E B, 455, 0
Red Lobster, 469, 4818
Bloomingdale's, 468, 435
National Instruments, 586, 46
Frontier Communications, 457, 292
Hyatt, 586, 1121
Food Lion, 455, 3760
Johnson Controls, 601, 1157
Kraft Foods, 612, 9
Harvard University, 466, 446
Fastenal, 562, 1010
Wolters Kluwer, 520, 271
Abbott Labs, 562, 0
Urban Outfitters, 489, 129
Life Time Fitness, 452, 3059
Eli Lilly, 521, 299
American Income Life, 433, 0
WellPoint, 482, 984
REI, 457, 2100
MIT, 456, 453
Reynolds and Reynolds, 486, 131
AlliedBarton, 428, 0
HCL Technologies, 2799, 136
BlackRock, 598, 316
hibu, 522, 287
Cracker Barrel, 442, 59
University of Minnesota, 439, 847
Purdue University, 421, 323
Applied Materials, 558, 342
Electronic Arts, 748, 322
Buffalo Wild Wings, 425, 275
Wegmans, 437, 476
Mercer, 630, 612
W.W. Grainger, 477, 1
Six Flags, 420, 115
McKinsey & Company, 895, 123
ITT Technical Institute, 466, 17
Texas A&M, 426, 0
Jimmy John's, 412, 43
Quest Diagnostics, 431, 751
Brigham Young University (BYU), 408, 0
Chrysler, 421, 902
US Department of Defense, 456, 0
Rent-A-Center, 429, 2222
Cummins, 486, 676
Aéropostale, 466, 165
University of Maryland, 418, 870
NVIDIA, 638, 303
BB&T, 450, 10
Papa John's, 414, 106
Burlington Coat Factory, 411, 2993
Cardinal Health, 426, 446
24 Hour Fitness, 425, 3154
General Dynamics Information Technology, 419, 0
First Data, 442, 649
Level 3 Communications, 437, 160
Rackspace, 450, 225
University of Texas at Austin, 385, 246
Baker Hughes, 593, 778
MITRE, 421, 296
Southwest Airlines, 421, 2
hhgregg, 422, 1005
DSW, 413, 837
CareerBuilder, 438, 29
Saks Fifth Avenue, 398, 16
TeleTech, 561, 125
Thermo Fisher Scientific, 486, 659
